,沪深300,中证500,中证1000,创业板,中小100,中证100,上证50,中证全债
2008-02-04,4950.124,4820.387,4346.525,,5976.619,5074.42,3796.13,113.03
2008-02-05,4921.829,4838.995,4366.549,,5989.75,5032.775,3766.163,114.12
2008-02-13,4816.084,4813.581,4371.405,,5914.728,4899.626,3660.157,114.3
2008-02-14,4880.252,4910.358,4455.051,,6006.275,4959.014,3706.966,114.28
2008-02-15,4813.311,4886.016,4437.486,,6026.084,4881.75,3646.176,114.29
2008-02-18,4910.992,5043.144,4555.318,,6228.189,4973.863,3709.071,114.3
2008-02-19,5020.753,5133.361,4639.881,,6346.544,5076.283,3787.029,114.21
2008-02-20,4908.717,5089.439,4620.5,,6271.394,4938.133,3676.474,114.2
2008-02-21,4876.03,5153.601,4682.195,,6337.489,4875.876,3620.846,114.23
2008-02-22,4702.241,5029.198,4591.941,,6197.59,4671.662,3466.204,114.24
2008-02-25,4519.783,4869.654,4442.762,,5969.868,4489.204,3331.99,114.27
2008-02-26,4515.533,4868.814,4446.171,,5909.506,4498.995,3363.701,114.29
2008-02-27,4639.768,4977.335,4555.182,,5985.563,4626.972,3459.782,114.29
2008-02-28,4622.056,4989.412,4571.874,,5993.352,4599.01,3435.455,114.4
2008-02-29,4674.55,5057.617,4646.539,,6093.64,4651.761,3470.602,114.57
2008-03-03,4790.744,5227.732,4814.757,,6290.143,4756.943,3539.431,114.57
2008-03-04,4671.148,5192.593,4824.665,,6238.386,4610.78,3424.791,114.55
2008-03-05,4628.724,5214.238,4877.329,,6198.432,4550.43,3380.654,114.55
2008-03-06,4685.03,5223.82,4882.963,,6205.669,4613.133,3445.748,114.57
2008-03-07,4621.685,5115.916,4805.957,,6160.537,4556.166,3395.606,114.56
2008-03-10,4431.589,4948.353,4673.062,,5967.93,4358.593,3256.444,114.58
2008-03-11,4441.184,5015.932,4761.058,,5954.448,4362.376,3264.566,114.59
2008-03-12,4309.648,4881.03,4656.531,,5809.894,4228.68,3164.785,114.58
2008-03-13,4198.96,4688.679,4466.078,,5583.732,4141.747,3111.837,114.55
2008-03-14,4157.871,4662.316,4435.479,,5559.489,4099.523,3084.449,114.57
2008-03-17,3965.279,4302.614,4096.925,,5189.194,3955.038,2984.056,114.6
2008-03-18,3763.948,3986.319,3814.21,,4822.917,3784.173,2869.614,114.61
2008-03-19,3888.861,4176.486,3999.936,,4968.85,3908.022,2945.229,114.65
2008-03-20,4001.832,4347.743,4153.995,,5121.674,4015.138,3011.785,114.73
2008-03-21,4037.83,4405.856,4197.441,,5250.782,4043.712,3021.58,114.78
2008-03-24,3857.091,4314.581,4130.146,,5122.772,3843.9,2869.284,114.94
2008-03-25,3905.774,4367.341,4193.506,,5144.472,3892.909,2884.623,115.04
2008-03-26,3914.37,4352.053,4180.574,,5168.462,3905.29,2896.689,115.1
2008-03-27,3748.92,4119.785,3949.961,,5000.754,3747.342,2760.451,115.16
2008-03-28,3918.156,4241.452,4060.043,,5108.671,3938.084,2910.511,115.12
2008-03-31,3790.53,4044.098,3861.596,,4950.144,3824.552,2823.975,115.45
2008-04-01,3582.855,3704.273,3539.507,,4610.14,3654.771,2713.487,115.51
2008-04-02,3547.977,3500.522,3319.595,,4405.899,3677.535,2744.651,115.54
2008-04-03,3650.698,3588.762,3393.426,,4542.325,3789.376,2828.626,115.48
2008-04-07,3845.822,3822.371,3596.267,,4785.374,3971.6,2954.229,115.35
2008-04-08,3891.059,3908.802,3673.961,,4865.115,4002.969,2969.609,115.35
2008-04-09,3688.125,3695.306,3466.972,,4663.429,3792.466,2803.154,115.42
2008-04-10,3754.715,3803.456,3567.631,,4759.653,3845.828,2840.552,115.35
2008-04-11,3783.728,3862.363,3619.036,,4819.369,3871.292,2865.45,115.32
2008-04-14,3536.327,3607.218,3399.318,,4582.455,3615.264,2685.013,115.44
2008-04-15,3583.299,3723.267,3504.246,,4679.736,3645.094,2715.74,115.42
2008-04-16,3494.016,3633.675,3423.915,,4597.629,3558.035,2654.902,115.38
2008-04-17,3386.63,3511.914,3291.15,,4435.478,3455.58,2588.758,115.38
2008-04-18,3272.499,3338.274,3116.689,,4271.144,3350.37,2511.362,115.37
2008-04-21,3267.554,3314.506,3101.9,,4211.104,3367.887,2545.522,115.39
2008-04-22,3296.277,3266.383,3054.434,,4110.698,3429.267,2595.693,115.46
2008-04-23,3453.727,3409.774,3182.855,,4318.479,3593.355,2718.253,115.49
2008-04-24,3774.504,3723.071,3448.797,,4702.837,3936.016,2981.186,115.47
2008-04-25,3803.07,3756.33,3457.991,,4674.03,3952.307,2984.963,115.48
2008-04-28,3729.154,3729.562,3446.969,,4602.338,3863.264,2918.611,115.52
2008-04-29,3776.943,3759.545,3472.666,,4643.917,3913.246,2960.893,115.52
2008-04-30,3959.119,3903.178,3584.346,,4858.348,4118.489,3125.533,115.54
