,沪深300,中证500,中证1000,创业板,中小100,中证100,上证50,中证全债
2007-01-12,2173.75,1881.753,1616.332,,2613.1,2394.842,1876.143,114.77
2007-01-19,2396.09,2159.638,1836.652,,3127.38,2593.313,1995.532,115.01
2007-01-26,2512.92,2186.27,1860.58,,3134.63,2753.968,2164.514,114.99
2007-02-02,2298.0,2127.104,1806.409,,3087.21,2480.798,1954.966,114.97
2007-02-09,2397.25,2287.381,1938.723,,3124.28,2545.344,2003.324,114.97
2007-02-16,2676.74,2541.409,2165.066,,3395.53,2838.724,2232.978,114.96
2007-03-02,2508.73,2503.677,2211.79,,3159.37,2621.108,2069.074,114.9
2007-03-09,2611.39,2638.047,2366.486,,3333.14,2716.812,2144.218,115.13
2007-03-16,2604.23,2710.861,2485.45,,3394.81,2680.79,2107.627,114.87
2007-03-23,2716.27,2897.999,2708.89,,3552.1,2789.014,2200.042,114.82
2007-03-30,2781.78,2926.064,2731.185,,3584.1,2877.966,2288.263,114.8
2007-04-06,2972.01,3182.797,2954.226,,3805.45,3036.876,2390.642,114.9
2007-04-13,3169.23,3358.632,3147.18,,4073.95,3216.42,2517.789,114.63
2007-04-20,3289.28,3614.391,3420.554,,4215.05,3260.527,2547.501,114.16
2007-04-27,3470.52,3845.813,3615.142,,4208.46,3425.931,2681.3,114.28
2007-04-30,3558.71,3903.689,3654.965,,4272.82,3515.815,2757.827,114.55
2007-05-11,3702.61,4109.403,3891.916,,4294.03,3673.894,2867.972,114.36
2007-05-18,3776.63,4235.185,4032.922,,4541.09,3712.72,2854.318,113.85
2007-05-25,3985.25,4649.857,4384.991,,4786.82,3852.202,2942.513,113.06
2007-06-01,3803.95,3960.442,3632.9,,4477.23,3789.946,2906.588,113.21
2007-06-08,3837.87,4002.868,3578.506,,4574.79,3766.324,2856.019,113.05
2007-06-15,4099.38,4316.53,3763.258,,5010.57,3994.615,3035.778,112.72
2007-06-22,4051.43,4123.215,3587.39,,4731.25,4011.941,3037.509,112.26
2007-06-29,3764.08,3585.486,3152.37,,4345.52,3821.626,2915.882,112.1
2007-07-06,3710.28,3591.377,3147.564,,4386.41,3753.699,2860.735,111.97
2007-07-13,3820.12,3655.845,3223.993,,4443.9,3887.137,2970.342,111.86
2007-07-20,3971.88,3788.744,3281.915,,4694.41,4072.608,3102.789,111.86
2007-07-27,4307.14,4269.767,3840.429,,4988.02,4351.616,3293.38,111.89
2007-08-03,4598.38,4408.047,3968.655,,5245.64,4707.162,3520.144,112.22
2007-08-10,4726.68,4348.811,3895.455,,5164.55,4907.888,3707.916,112.12
2007-08-17,4626.58,4390.883,3984.806,,5167.04,4740.294,3606.528,112.39
2007-08-24,5217.58,4742.953,4320.975,,5679.62,5384.594,4104.658,112.41
2007-08-31,5296.81,4897.636,4515.24,,5819.78,5456.398,4150.167,112.67
2007-09-07,5294.8,4939.231,4533.107,,5666.93,5418.321,4111.931,112.47
2007-09-14,5397.28,4936.694,4502.404,,5660.69,5541.235,4165.566,112.16
2007-09-21,5468.1,5028.843,4562.117,,5494.83,5569.281,4197.038,112.05
2007-09-28,5580.81,5083.65,4582.44,,5799.92,5709.504,4307.417,112.24
2007-10-12,5737.22,4891.386,4375.305,,5800.5,5979.126,4578.686,112.42
2007-10-19,5614.06,4813.952,4277.367,,5754.54,5852.904,4494.561,112.34
2007-10-26,5394.81,4228.946,3699.727,,5336.99,5746.263,4429.979,112.18
2007-11-02,5472.93,4329.631,3829.232,,5201.67,5859.597,4543.163,112.23
2007-11-09,5040.53,4153.236,3743.999,,5070.46,5372.655,4139.572,112.12
2007-11-16,5007.66,4217.228,3843.967,,5075.55,5340.219,4133.351,111.82
