trade_date,采掘,化工,钢铁,有色金属,建筑材料,建筑装饰,电气设备,机械设备,国防军工,汽车,家用电器,纺织服装,轻工制造,商业贸易,农林牧渔,食品饮料,休闲服务,医药生物,公用事业,交通运输,房地产,电子,计算机,传媒,通信,银行,非银金融,综合
2010-09-10,5088.09,2395.32,2772.4,4014.27,,,,,,,2220.86,2252.25,1937.45,4788.29,2230.11,5279.89,3243.61,4651.18,2004.97,2387.65,2711.3,1794.72,,,,,,1946.82
2010-09-17,4848.39,2337.43,2670.21,3919.43,,,,,,,2175.85,2222.26,1945.39,4709.04,2203.39,5214.65,3151.58,4540.08,2004.46,2346.45,2681.0,1773.66,,,,,,1925.99
2010-09-21,4792.97,2335.81,2656.34,3838.26,,,,,,,2196.17,2193.48,1940.25,4727.98,2215.06,5238.62,3089.87,4509.61,1967.87,2350.1,2650.15,1741.45,,,,,,1902.75
2010-09-30,5044.75,2378.84,2692.81,4310.81,,,,,,,2224.46,2208.34,1956.35,4840.69,2329.6,5426.84,3121.33,4626.59,1993.58,2342.79,2723.05,1788.34,,,,,,1930.4
2010-10-08,5486.12,2452.58,2765.36,4577.58,,,,,,,2263.49,2256.77,2003.36,4933.39,2397.7,5603.35,3172.21,4717.23,2030.51,2409.23,2760.21,1823.52,,,,,,1974.27
2010-10-15,6309.26,2595.74,3000.51,5317.35,,,,,,,2377.1,2228.19,2010.95,4706.54,2384.11,5161.09,2957.53,4339.84,2129.04,2632.34,2965.34,1742.53,,,,,,1993.92
2010-10-22,6616.63,2591.21,2946.3,5333.9,,,,,,,2531.02,2292.46,2052.01,4842.76,2447.89,5479.24,3056.33,4594.65,2132.11,2640.53,2888.54,1862.78,,,,,,2089.54
2010-10-29,6526.81,2625.46,2964.69,5548.66,,,,,,,2521.52,2362.31,2096.32,4885.89,2517.79,5522.06,3121.81,4701.61,2143.03,2679.52,2984.51,2004.25,,,,,,2186.36
2010-11-05,6723.35,2750.5,3092.07,5758.25,,,,,,,2526.34,2450.68,2183.05,5130.05,2716.53,5685.3,3242.15,4891.91,2226.74,2755.03,3103.39,2070.65,,,,,,2286.75
2010-11-12,6799.25,2662.63,2906.53,5474.24,,,,,,,2386.58,2346.36,2083.59,4950.59,2599.74,5767.61,3177.04,4950.79,2141.81,2559.72,2824.93,1974.55,,,,,,2179.16
2010-11-19,6136.1,2521.43,2787.64,4954.85,,,,,,,2410.57,2336.56,2102.93,4849.09,2535.63,5774.92,3200.58,5044.36,2100.97,2493.04,2773.83,2077.78,,,,,,2140.82
2010-11-26,6059.15,2551.31,2761.9,4857.52,,,,,,,2450.81,2414.57,2158.37,4894.72,2554.57,6275.79,3298.06,5286.4,2132.31,2456.14,2778.57,2135.15,,,,,,2209.25
2010-12-03,6086.06,2508.96,2721.15,4855.65,,,,,,,2412.39,2362.85,2099.16,4742.07,2519.49,6124.74,3181.64,5041.97,2112.85,2421.44,2782.83,2062.14,,,,,,2127.89
2010-12-10,6167.07,2477.66,2746.16,4940.97,,,,,,,2359.26,2326.73,2047.04,4718.67,2421.82,6037.04,3198.76,5004.34,2084.64,2394.14,2700.3,2085.9,,,,,,2077.52
2010-12-17,6313.88,2546.49,2829.19,5111.1,,,,,,,2489.19,2411.94,2104.05,4814.26,2607.88,6172.7,3300.13,5124.98,2142.44,2454.4,2800.36,2175.14,,,,,,2160.34
2010-12-24,6255.99,2480.87,2814.86,4953.7,,,,,,,2436.37,2304.34,2018.04,4639.35,2486.57,5757.55,3110.13,4818.86,2069.75,2406.85,2903.76,2058.91,,,,,,2073.55
2010-12-31,6207.3,2453.64,2741.57,5154.04,,,,,,,2448.46,2272.35,1987.9,4599.7,2470.21,5763.63,3063.65,4842.0,2024.61,2380.63,2732.01,2071.01,,,,,,2046.78
2011-01-07,6252.38,2469.8,2806.01,5043.69,,,,,,,2434.36,2311.31,1996.98,4608.2,2458.92,5626.33,3046.1,4824.91,2043.55,2408.14,2899.81,2073.78,,,,,,2078.63
2011-01-14,5986.6,2387.91,2773.38,4672.3,,,,,,,2395.44,2217.74,1945.71,4436.95,2345.03,5537.56,2927.99,4600.16,1979.91,2380.38,2884.21,1937.9,,,,,,2025.23
2011-01-21,5675.63,2281.06,2713.75,4499.67,,,,,,,2283.26,2124.55,1878.29,4252.61,2220.09,5356.67,2768.91,4339.59,1914.8,2332.81,2714.57,1846.68,,,,,,1938.56
2011-01-28,5683.8,2286.42,2782.75,4485.16,,,,,,,2326.42,2133.22,1875.29,4289.05,2248.92,5366.22,2862.6,4365.29,1936.75,2386.48,2677.24,1846.01,,,,,,1946.61
2011-02-01,5842.29,2332.14,2822.7,4681.4,,,,,,,2338.8,2161.61,1895.14,4348.79,2294.71,5454.26,2896.33,4408.38,1975.61,2397.01,2691.65,1869.13,,,,,,1985.63
2011-02-11,5737.98,2412.9,2869.96,4663.03,,,,,,,2510.28,2219.66,1954.7,4464.23,2437.91,5605.8,2991.11,4570.76,2015.83,2431.81,2772.96,1932.98,,,,,,2072.74
2011-02-18,6000.31,2491.69,3004.9,5039.64,,,,,,,2539.8,2296.99,2010.83,4493.73,2463.35,5695.0,3042.8,4625.86,2054.28,2515.37,2815.11,2005.46,,,,,,2127.66
2011-02-25,6036.16,2562.3,2970.67,5117.55,,,,,,,2647.31,2360.57,2081.85,4557.35,2518.73,5652.01,3094.8,4628.74,2076.51,2474.98,2811.86,2054.14,,,,,,2170.13
2011-03-04,6162.63,2567.26,3056.49,5132.18,,,,,,,2781.4,2390.83,2123.57,4712.42,2502.36,5634.16,3193.09,4626.63,2100.67,2516.1,2912.19,2040.2,,,,,,2249.36
2011-03-11,6292.92,2597.96,3015.01,5121.72,,,,,,,2795.55,2446.55,2142.19,4774.38,2491.08,5745.63,3154.01,4698.35,2097.11,2499.6,2908.95,2077.64,,,,,,2240.52
2011-03-18,6288.9,2604.55,3080.37,5069.01,,,,,,,2769.32,2470.16,2135.18,4657.26,2459.15,5807.64,3088.58,4701.37,2119.52,2440.41,2904.98,2063.62,,,,,,2236.5
2011-03-25,6455.54,2656.32,3131.32,5278.75,,,,,,,2890.52,2531.59,2181.01,4689.53,2462.58,5730.0,3161.73,4678.9,2146.15,2483.53,3061.59,2059.63,,,,,,2297.97
2011-04-01,6567.64,2579.75,3212.31,5302.3,,,,,,,2764.92,2473.79,2097.12,4541.65,2355.76,5616.77,3124.86,4488.01,2101.05,2450.64,3049.4,1983.85,,,,,,2248.15
2011-04-08,6716.56,2658.5,3328.04,5517.17,,,,,,,2851.54,2495.94,2153.93,4602.13,2402.08,5580.32,3150.82,4554.8,2148.62,2477.51,3099.58,2007.43,,,,,,2279.8
2011-04-15,6628.13,2729.83,3445.04,5337.81,,,,,,,2789.96,2506.15,2132.69,4635.02,2430.4,5603.7,3196.99,4604.88,2197.21,2516.33,3098.96,1980.92,,,,,,2291.59
